sentence,compound,positive,negative,neutral,label,title
Chapter IV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Despisers of the Body.,-0.3818,0.0,0.394,0.606,negative,Thus Spake Zarathustra: A Book for All and None
Chapter IX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Preachers of Death.,-0.5994,0.0,0.565,0.435,negative,Thus Spake Zarathustra: A Book for All and None
Chapter XV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Thousand and One Goals.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Old and Young Women.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Voluntary Death.,-0.5994,0.0,0.796,0.204,negative,Thus Spake Zarathustra: A Book for All and None
Chapter XXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Bestowing Virtue.,0.4215,0.583,0.0,0.417,positive,Thus Spake Zarathustra: A Book for All and None
PART II.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Child with the Mirror.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
In the Happy Isles.,0.5719,0.552,0.0,0.448,positive,Thus Spake Zarathustra: A Book for All and None
Chapter XXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Tarantulas.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Famous Wise Ones.,0.4767,0.508,0.0,0.492,positive,Thus Spake Zarathustra: A Book for All and None
Chapter XXXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Grave-Song.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Self-Surpassing.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
